
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,
0.25,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.26,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.26,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.27,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.27,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.28,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.28,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.29,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.29,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.30,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.30,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,3.00,-17.88,-30.60,183.23,0.44,-0.63,-∞,
0.30,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,3.00,-17.88,-30.60,183.23,0.44,-0.63,-∞,
0.30,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,3.00,-17.88,-30.60,183.23,0.44,-0.63,-∞,
0.30,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.60,3.00,-17.88,-30.60,183.23,0.44,-0.63,-∞,
0.31,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.60,3.00,-17.88,-30.60,183.23,0.44,-0.63,-∞,
0.31,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.60,3.00,-17.88,-30.60,183.23,0.44,-0.63,-∞,
0.32,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.60,3.00,-17.88,-30.60,183.23,0.44,-0.63,-∞,
0.32,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.60,3.00,-17.88,-30.60,183.23,0.44,-0.63,-∞,
0.33,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.60,3.00,-17.88,-30.60,183.23,0.44,-0.62,-∞,
0.33,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.60,3.00,-17.88,-30.60,183.23,0.44,-0.62,-∞,
0.34,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.61,3.00,-17.88,-30.60,183.23,0.44,-0.62,-∞,
0.34,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.61,3.00,-17.88,-30.60,183.23,0.44,-0.62,-∞,
0.34,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.61,3.00,-17.88,-30.60,183.23,0.44,-0.62,-∞,
0.35,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.61,3.00,-17.88,-30.60,183.23,0.44,-0.62,-∞,
0.35,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.61,3.00,-17.88,-30.60,183.23,0.44,-0.62,-∞,
0.37,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.37,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.14,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.37,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,0.01,0.01,0.14,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.37,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,0.01,0.01,0.14,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.38,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,0.00,0.00,0.15,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.38,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,0.00,0.00,0.15,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.38,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,0.00,0.00,0.15,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.40,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,0.00,0.00,0.15,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.40,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,0.00,0.00,0.15,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.40,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,0.01,0.00,0.18,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.40,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,0.01,0.00,0.18,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.40,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,0.01,0.00,0.18,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.40,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,0.01,0.00,0.18,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.40,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,0.01,0.00,0.18,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.40,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,-0.01,0.01,0.18,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.41,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,-0.01,0.01,0.18,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.41,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,-0.01,0.01,0.18,1008.61,2.10,-18.48,-29.34,183.23,0.44,-0.62,-∞,
0.42,-0.01,-0.01,1.02,-0.00,-0.00,-0.00,-0.01,0.01,0.18,1008.61,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.42,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.18,1008.61,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.43,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.18,1008.61,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.43,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.18,1008.61,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.43,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.00,0.15,1008.61,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.43,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.00,0.15,1008.61,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.43,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.00,0.15,1008.61,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.44,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.00,0.15,1008.60,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.44,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.00,0.15,1008.60,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.44,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.00,0.15,1008.60,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.44,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.00,0.01,0.17,1008.60,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.45,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.00,0.01,0.17,1008.60,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.45,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.00,0.01,0.17,1008.60,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.46,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.00,0.01,0.17,1008.60,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.46,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.00,0.01,0.17,1008.60,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.46,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.02,0.16,1008.60,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.47,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.02,0.16,1008.60,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.47,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.02,0.16,1008.60,2.28,-18.00,-29.76,183.23,0.44,-0.62,-∞,
0.48,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.02,0.16,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.48,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.02,0.16,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.48,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.02,0.16,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.48,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.02,0.16,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.49,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.02,0.01,0.15,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.49,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.02,0.01,0.15,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.49,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.02,0.01,0.15,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.50,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.02,0.01,0.15,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.50,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.02,0.01,0.15,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.50,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.03,0.00,0.16,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.51,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.03,0.00,0.16,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.51,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.03,0.00,0.16,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.52,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.03,0.00,0.16,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.52,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.03,0.00,0.16,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.52,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.17,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.53,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.17,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.53,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.17,1008.60,1.98,-17.58,-29.64,183.23,0.44,-0.62,-∞,
0.54,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.17,1008.60,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.54,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.17,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.54,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.01,0.01,0.17,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.54,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.01,0.01,0.17,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.55,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.01,0.01,0.17,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.55,-0.01,-0.01,1.02,0.00,-0.00,-0.00,0.02,0.01,0.15,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.55,-0.01,-0.01,1.02,0.00,-0.00,-0.00,0.02,0.01,0.15,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.55,-0.01,-0.01,1.02,0.00,-0.00,-0.00,0.02,0.01,0.15,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.56,-0.01,-0.01,1.02,0.00,-0.00,-0.00,0.02,0.01,0.15,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.56,-0.01,-0.01,1.02,0.00,-0.00,-0.00,0.02,0.01,0.15,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.56,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.01,0.01,0.18,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.57,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.01,0.01,0.18,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.57,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.01,0.01,0.18,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.58,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.01,0.01,0.18,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.58,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.01,0.01,0.18,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.58,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.00,-0.01,0.16,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.59,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.00,-0.01,0.16,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.59,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.00,-0.01,0.16,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.60,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.00,-0.01,0.16,1008.61,2.70,-18.24,-29.88,183.23,0.44,-0.62,-∞,
0.60,-0.01,-0.01,1.02,0.00,-0.00,-0.00,-0.00,-0.01,0.16,1008.61,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.60,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.00,-0.01,0.16,1008.61,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.60,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.00,-0.01,0.16,1008.61,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.60,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.00,0.02,0.16,1008.61,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.61,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.00,0.02,0.16,1008.61,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.61,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.00,0.02,0.16,1008.61,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.62,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.00,0.02,0.16,1008.61,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.62,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.00,0.02,0.16,1008.61,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.62,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.00,0.16,1008.61,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.63,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.00,0.16,1008.61,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.63,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.00,0.16,1008.61,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.64,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.00,0.16,1008.60,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.64,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.00,0.16,1008.60,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.64,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.00,0.16,1008.60,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.64,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.17,1008.60,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.65,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.17,1008.60,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.65,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.17,1008.60,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
0.66,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.17,1008.60,1.50,-18.06,-28.08,183.23,0.44,-0.62,-∞,
